price,type,title,address,gov,bathrooms,total_rooms,living_area,total_area,rooms
1 300 DT,location,Appartement S2 meublé Carthage Dermech ref AL3164,Carthage, Tunis,,,,,
2 800 DT,location,Appartement S2 meublé avec vue Gammarth ref: AL2205,Gammarth, Tunis,,,,,
3 000 DT,location,Un appartement meublé au lac 2 al2037,Les Berges Du Lac, Tunis,2,3,,,2
1 200 DT,location,Un appartement meublé à l'aouina ref al2080,L'aouina, Tunis,1,3,,,2
7 000 DT,location,Un joli triplex au lac 2 al2092,Les Berges Du Lac, Tunis,2,3,,,
2 300 DT,location,Un appartement meublé au lac2 ref al2027,Les Berges Du Lac, Tunis,,3,,,2
3 000 DT,location,Un appartement à usage bureautique ref al2005,Les Berges Du Lac, Tunis,,4,,,3
1 400 DT,location,Etage de villa à cité el wifek,Sidi Daoud, Tunis,,4,,,3
6 000 DT,location,Appartement haut standing pour usage bureautique al1846,Les Berges Du Lac, Tunis,1,5,,,4
502 000 DT,vente,Appartement tout neuf à ain zaghouan nord m366,Aïn Zaghouan, Tunis,1,5,,,4
1 400 DT,location,Joli appartement au lac 2 réf al 1655,Les Berges Du Lac, Tunis,1,,,,2
1 800 DT,location,Appartement meublé au jardin d carthage ref al1450,Jardin De Carthage, Tunis,1,3,,,2
272 000 DT,vente,Un appartement neuf à ain zaghouan ref mz672,Aïn Zaghouan, Tunis,1,3,136,,2
900 DT,location,Un appartement 3 piéces ref alz3029,Gammarth, Tunis,,4,,,3
1 000 DT,location,Un appartement au jardin de carthage ref al1238,Jardin De Carthage, Tunis,1,3,,,2
2 400 DT,location,Appartement haut standing au lac 2 ref alz3036,Les Berges Du Lac, Tunis,1,5,,,4
4 650 DT,location,Un bureau open space au lac 2 ref lcz086,Les Berges Du Lac, Tunis,,,223,,
360 000 DT,vente,Un spacieux appartement à ain zaghouane ref mz673,Aïn Zaghouan, Tunis,1,4,,,3
